"X","taxon_name","genus","family","leaf_mass_per_area","seed_dry_mass","leaf_length","leaf_width","plant_height","original_leaf_mass_per_area"
11540,"Acacia linarioides","Acacia","Fabaceae",NA,NA,22.5,1.2,2.5,NA
11541,"Acacia lineolata","Acacia","Fabaceae",NA,NA,42.5,3.5,1.7,NA
11542,"Acacia lirellata","Acacia","Fabaceae",NA,NA,80,1.4,1.5,NA
11543,"Acacia lobulata","Acacia","Fabaceae",NA,NA,25,0.75,2,NA
11544,"Acacia longipedunculata","Acacia","Fabaceae",NA,NA,17.5,NA,1,NA
11545,"Acacia longiphyllodinea","Acacia","Fabaceae",NA,10.1,300,1.25,4,NA
11546,"Acacia longispicata","Acacia","Fabaceae",NA,12.5,140,27,10,NA
11547,"Acacia longispinea","Acacia","Fabaceae",NA,5.01,152,1.75,5,NA
11548,"Acacia loroloba","Acacia","Fabaceae",NA,NA,1.5,0.6,9,NA
11549,"Acacia loxophylla","Acacia","Fabaceae",NA,NA,5.5,3.5,0.9,NA
11550,"Acacia lullfitziorum","Acacia","Fabaceae",NA,NA,7.5,3,0.7,NA
11551,"Acacia luteola","Acacia","Fabaceae",NA,NA,4,0.75,0.7,NA
11552,"Acacia lycopodiifolia","Acacia","Fabaceae",360,11.9,3,NA,1,360
11553,"Acacia lysiphloia","Acacia","Fabaceae",174,17.5,30,3.1,6,174
11554,"Acacia macdonnellensis","Acacia","Fabaceae",NA,5.37,95,1.9,6,NA
11555,"Acacia mackeyana","Acacia","Fabaceae",NA,NA,17.5,1.25,1.7,NA
11556,"Acacia macnuttiana","Acacia","Fabaceae",NA,26.3,108,2.25,3,NA
11557,"Acacia macradenia","Acacia","Fabaceae",150,12.4,190,17.5,5,150
11558,"Acacia malloclada","Acacia","Fabaceae",NA,3.35,42.5,3,NA,NA
11559,"Acacia manipularis","Acacia","Fabaceae",NA,NA,25,NA,1,NA
11560,"Acacia maranoensis","Acacia","Fabaceae",NA,NA,130,6,10,NA
11561,"Acacia marramamba","Acacia","Fabaceae",NA,28.2,30,15,3,NA
11562,"Acacia masliniana","Acacia","Fabaceae",NA,6.79,72.5,NA,3,NA
11563,"Acacia matthewii","Acacia","Fabaceae",NA,10.9,125,22,15,NA
11564,"Acacia maxwellii","Acacia","Fabaceae",NA,NA,37.5,2,0.4,NA
11565,"Acacia megacephala","Acacia","Fabaceae",NA,22.6,4.5,2.25,2,NA
11566,"Acacia megalantha","Acacia","Fabaceae",NA,45.2,80,21,4,NA
11567,"Acacia meiantha","Acacia","Fabaceae",NA,5.62,32.5,0.7,2.4,NA
11568,"Acacia meiosperma","Acacia","Fabaceae",NA,6.68,97.5,25,3,NA
11569,"Acacia melleodora","Acacia","Fabaceae",NA,7.56,27.5,7.5,4,NA
11570,"Acacia melvillei","Acacia","Fabaceae",NA,10.2,84.2,14.3,15,NA
11571,"Acacia merinthophora","Acacia","Fabaceae",NA,2.78,160,NA,4,NA
11572,"Acacia merrickiae","Acacia","Fabaceae",NA,17.6,25,11,4,NA
11573,"Acacia microbotrya","Acacia","Fabaceae",203,49.5,95,12.5,7,203
11574,"Acacia microcalyx","Acacia","Fabaceae",NA,NA,30,1.5,3,NA
11575,"Acacia microcarpa","Acacia","Fabaceae",296,6.1,46.2,8.5,3,296
11576,"Acacia microcephala","Acacia","Fabaceae",NA,NA,100,1.5,10,NA
11577,"Acacia microneura","Acacia","Fabaceae",NA,NA,75,1.5,NA,NA
11578,"Acacia microsperma","Acacia","Fabaceae",NA,NA,105,2.75,10,NA
11579,"Acacia mimica","Acacia","Fabaceae",NA,NA,61.5,4.5,2.5,NA
11580,"Acacia mimula","Acacia","Fabaceae",158,167,132,20,7,158
11581,"Acacia mitodes","Acacia","Fabaceae",NA,NA,15.5,NA,NA,NA
11582,"Acacia moirii","Acacia","Fabaceae",NA,NA,10,NA,0.6,NA
11583,"Acacia montana","Acacia","Fabaceae",195,10.4,30,5.33,4,195
11584,"Acacia mooreana","Acacia","Fabaceae",NA,NA,5,4.5,1,NA
11585,"Acacia mountfordiae","Acacia","Fabaceae",NA,NA,36.2,14.5,4,NA
11586,"Acacia multisiliqua","Acacia","Fabaceae",181,13.6,50.5,7.12,3,181
11587,"Acacia multispicata","Acacia","Fabaceae",576,6.19,45,1.15,2.5,576
11588,"Acacia multistipulosa","Acacia","Fabaceae",NA,NA,67.5,6,10,NA
11589,"Acacia mutabilis","Acacia","Fabaceae",NA,NA,35,4.5,2,NA
11590,"Acacia sp. Small Red-leaved Wattle (J.B.Williams 95033)","Acacia","Fabaceae",NA,NA,55,11.5,2,NA
11591,"Acacia nanodealbata","Acacia","Fabaceae",NA,11.2,2.12,0.8,12,NA
11592,"Acacia nanopravissima","Acacia","Fabaceae",NA,NA,6,4.5,0.9,NA
11593,"Acacia nervosa","Acacia","Fabaceae",NA,16.3,30,8,0.5,NA
11594,"Acacia nesophila","Acacia","Fabaceae",NA,11.7,100,37.5,3.5,NA
11595,"Acacia neurocarpa","Acacia","Fabaceae",156,10.6,185,42.5,8,156
11596,"Acacia neurophylla","Acacia","Fabaceae",NA,NA,115,8.25,5,NA
11597,"Acacia newbeyi","Acacia","Fabaceae",NA,NA,3.5,1.5,1,NA
11598,"Acacia sp. Kununurra (G.Lullfitz 6195)","Acacia","Fabaceae",NA,NA,35,14,2,NA
11599,"Acacia nigricans","Acacia","Fabaceae",NA,5.14,5.5,2.75,1.5,NA
11600,"Acacia nigripilosa","Acacia","Fabaceae",NA,NA,45,4.5,2,NA
11601,"Acacia nilotica subsp. indica","Acacia","Fabaceae",NA,NA,4.35,1.25,12,NA
11602,"Acacia nitidula","Acacia","Fabaceae",NA,NA,22.5,3.5,2,NA
11603,"Acacia nivea","Acacia","Fabaceae",NA,NA,15,NA,1,NA
11604,"Acacia nodiflora","Acacia","Fabaceae",NA,21.6,10,1,2,NA
11605,"Acacia nuperrima","Acacia","Fabaceae",204,NA,14.2,2.12,1,204
11606,"Acacia obesa","Acacia","Fabaceae",NA,NA,20,NA,0.6,NA
11607,"Acacia obliquinervia","Acacia","Fabaceae",NA,26.3,132,36.7,15,179
11608,"Acacia obovata","Acacia","Fabaceae",NA,18.4,32.5,17.5,0.6,NA
11609,"Acacia obtecta","Acacia","Fabaceae",NA,NA,85,5,3,NA
11610,"Acacia octonervia","Acacia","Fabaceae",NA,NA,15,NA,0.5,NA
11611,"Acacia oldfieldii","Acacia","Fabaceae",NA,NA,118,4,5,NA
11612,"Acacia olgana","Acacia","Fabaceae",420,9.68,120,4.5,6,420
11613,"Acacia oligoneura","Acacia","Fabaceae",172,10.1,140,14.2,2,172
11614,"Acacia olsenii","Acacia","Fabaceae",NA,35.9,1.42,0.392,15,NA
11615,"Acacia ommatosperma","Acacia","Fabaceae",NA,NA,110,10.5,NA,NA
11616,"Acacia oncinocarpa","Acacia","Fabaceae",132,17.4,94.5,16,5,132
11617,"Acacia oncinophylla","Acacia","Fabaceae",NA,NA,85,3.5,2.5,NA
11618,"Acacia ophiolithica","Acacia","Fabaceae",NA,1.85,30,NA,2,NA
11619,"Acacia orbifolia","Acacia","Fabaceae",NA,NA,14,10.5,1.8,NA
11620,"Acacia orthocarpa","Acacia","Fabaceae",NA,20.2,90.5,0.75,4,NA
11621,"Acacia orthotricha","Acacia","Fabaceae",NA,NA,5.75,NA,1,NA
11622,"Acacia x [Acacia oxycedrus x sophorae; Maslin_2012]","Acacia","Fabaceae",NA,NA,65,6.5,2.5,NA
11623,"Acacia oxyclada","Acacia","Fabaceae",NA,3.62,10,1.25,1,NA
11624,"Acacia pachyacra","Acacia","Fabaceae",NA,34.7,140,0.75,5,NA
11625,"Vachellia pachyphloia","Vachellia","Fabaceae",NA,NA,17.8,5,10,NA
11626,"Acacia pachyphylla","Acacia","Fabaceae",NA,NA,42.5,2,0.3,NA
11627,"Acacia pachypoda","Acacia","Fabaceae",NA,NA,16.5,1,0.7,NA
11628,"Acacia palustris","Acacia","Fabaceae",NA,3.96,155,1.25,4,NA
11629,"Acacia papulosa","Acacia","Fabaceae",NA,4.91,40,0.85,2,NA
11630,"Acacia paraneura","Acacia","Fabaceae",NA,17.6,135,1,10,NA
11631,"Acacia parvipinnula","Acacia","Fabaceae",NA,11.9,3.25,0.542,10,103
11632,"Acacia pataczekii","Acacia","Fabaceae",NA,NA,32.5,15,6,NA
11633,"Acacia patagiata","Acacia","Fabaceae",NA,NA,40,5.5,2.5,NA
11634,"Acacia paula","Acacia","Fabaceae",NA,NA,95,1.9,NA,NA
11635,"Acacia pedina","Acacia","Fabaceae",NA,14.4,77.5,23.5,5,NA
11636,"Acacia pedleyi","Acacia","Fabaceae",NA,NA,2.2,0.5,10,NA
11637,"Acacia pelophila","Acacia","Fabaceae",NA,NA,55,4.5,2,NA
11638,"Acacia pentadenia","Acacia","Fabaceae",NA,NA,4.5,1.75,5,NA
11639,"Acacia perryi","Acacia","Fabaceae",NA,NA,11.5,NA,1.5,NA
11640,"Acacia petraea","Acacia","Fabaceae",NA,6.08,196,4,10,NA
11641,"Acacia phaeocalyx","Acacia","Fabaceae",NA,25.2,11.5,8.5,0.6,NA
11642,"Acacia pharangites","Acacia","Fabaceae",NA,11,27.5,1,3,NA
11643,"Acacia phasmoides","Acacia","Fabaceae",NA,14.7,88.3,1.67,4,NA
11644,"Acacia phlebocarpa","Acacia","Fabaceae",149,16.4,37.5,8,2,149
11645,"Acacia phlebopetala","Acacia","Fabaceae",NA,NA,7.5,8,1,NA
11646,"Acacia pickardii","Acacia","Fabaceae",NA,NA,42.5,1.5,5,NA
11647,"Acacia pilligaensis","Acacia","Fabaceae",NA,9.04,30,1.12,5,NA
11648,"Acacia pinguiculosa","Acacia","Fabaceae",NA,NA,20,4.25,1,NA
11649,"Acacia pinguifolia","Acacia","Fabaceae",NA,11.4,27.5,2.5,2,NA
11650,"Acacia plautella","Acacia","Fabaceae",NA,NA,11.5,1.75,1,NA
11651,"Acacia plectocarpa","Acacia","Fabaceae",NA,22,166,8.25,9,NA
11652,"Acacia plicata","Acacia","Fabaceae",NA,7.88,10.5,2.5,2,NA
11653,"Acacia podalyriifolia","Acacia","Fabaceae",NA,32,25,17.2,7,81.2
11654,"Acacia polifolia","Acacia","Fabaceae",NA,NA,70,5.5,5,NA
11655,"Acacia poliochroa","Acacia","Fabaceae",NA,NA,17.5,1.5,0.5,NA
11656,"Acacia polyadenia","Acacia","Fabaceae",NA,NA,62.5,4,0.3,NA
11657,"Acacia polybotrya","Acacia","Fabaceae",123,23.4,7.5,1.8,5,123
11658,"Acacia porcata","Acacia","Fabaceae",NA,NA,17.5,NA,0.5,NA
11659,"Acacia praelongata","Acacia","Fabaceae",NA,NA,171,2,8,NA
11660,"Acacia praemorsa","Acacia","Fabaceae",NA,21.1,55,1.75,3,NA
11661,"Acacia praetermissa","Acacia","Fabaceae",NA,NA,126,10,1.8,NA
11662,"Acacia preissiana","Acacia","Fabaceae",NA,11,5,NA,NA,NA
11663,"Acacia prismifolia","Acacia","Fabaceae",NA,NA,7,1.5,0.5,NA
11664,"Acacia pritzeliana","Acacia","Fabaceae",NA,NA,7,1.5,0.5,NA
11665,"Acacia producta","Acacia","Fabaceae",NA,NA,55,10,2,NA
11666,"Acacia profusa","Acacia","Fabaceae",NA,8.25,12,1.25,0.9,NA
11667,"Acacia proiantha","Acacia","Fabaceae",NA,NA,142,1.25,6,NA
11668,"Acacia pruinosa","Acacia","Fabaceae",NA,27.1,11.5,2.55,6,NA
11669,"Acacia pterocaulon","Acacia","Fabaceae",NA,NA,32.5,4,1.3,NA
11670,"Acacia ptychoclada","Acacia","Fabaceae",NA,12.4,70,0.725,2.5,NA
11671,"Acacia ptychophylla","Acacia","Fabaceae",NA,NA,32.5,6.5,1.5,NA
11672,"Acacia pubicosta","Acacia","Fabaceae",NA,NA,67.5,2.5,5,NA
11673,"Acacia pubifolia","Acacia","Fabaceae",NA,9.98,56.2,19,8,NA
11674,"Acacia pubirhachis","Acacia","Fabaceae",NA,NA,85,6,7,NA
11675,"Acacia pulviniformis","Acacia","Fabaceae",NA,NA,7.5,0.55,0.2,NA
11676,"Acacia puncticulata","Acacia","Fabaceae",NA,NA,20,11,1.8,NA
11677,"Acacia purpureopetala","Acacia","Fabaceae",NA,NA,25,5,0.5,NA
11678,"Acacia pusilla","Acacia","Fabaceae",NA,2.76,7.5,NA,0.3,NA
11679,"Acacia pustula","Acacia","Fabaceae",106,18,100,8,15,106
11680,"Acacia pycnocephala","Acacia","Fabaceae",NA,NA,8.5,2.75,0.6,NA
11681,"Acacia pygmaea","Acacia","Fabaceae",NA,NA,25,11,0.5,NA
11682,"Acacia pyrifolia","Acacia","Fabaceae",285,34.6,42.5,27.5,3,285
