"","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness"
"147","Allocasuarina rigida subsp. exsul","Allocasuarina","Casuarinaceae",12,NA,NA,NA,0.8,NA,NA,NA,NA
"148","Allocasuarina rigida subsp. rigida","Allocasuarina","Casuarinaceae",17.5,NA,NA,NA,1.15,NA,NA,NA,NA
"149","Allocasuarina rigida","Allocasuarina","Casuarinaceae",17.5,NA,NA,4,1.1,NA,202,0.662,NA
"150","Allocasuarina robusta","Allocasuarina","Casuarinaceae",10.5,NA,NA,3,0.9,NA,NA,NA,NA
"151","Allocasuarina rupicola","Allocasuarina","Casuarinaceae",9.5,1.76,3.59,3,0.8,NA,NA,NA,NA
"152","Allocasuarina scleroclada","Allocasuarina","Casuarinaceae",36,NA,NA,3,1.25,NA,NA,NA,NA
"153","Allocasuarina simulans","Allocasuarina","Casuarinaceae",17.5,NA,NA,3,1.1,NA,NA,NA,NA
"154","Allocasuarina spinosissima","Allocasuarina","Casuarinaceae",10.5,NA,NA,4,1.4,NA,NA,NA,NA
"155","Allocasuarina striata","Allocasuarina","Casuarinaceae",14,NA,NA,4,1.1,NA,NA,NA,NA
"156","Allocasuarina tessellata","Allocasuarina","Casuarinaceae",10.5,NA,NA,5,0.85,NA,NA,NA,NA
"157","Allocasuarina thalassoscopica","Allocasuarina","Casuarinaceae",9.5,NA,NA,1,0.75,NA,NA,NA,NA
"158","Allocasuarina thuyoides","Allocasuarina","Casuarinaceae",1.2,NA,NA,2,0.5,NA,NA,NA,NA
"159","Allocasuarina tortiramula","Allocasuarina","Casuarinaceae",8,NA,NA,1.7,0.9,NA,NA,NA,NA
"160","Allocasuarina torulosa","Allocasuarina","Casuarinaceae",2.23,2.38,6.1,30,0.6,NA,76.8,0.719,NA
"161","Allocasuarina trichodon","Allocasuarina","Casuarinaceae",12,NA,NA,3,0.95,NA,NA,NA,NA
"162","Allocasuarina verticillata","Allocasuarina","Casuarinaceae",17.7,3.51,9.25,11,1,NA,181,0.754,0.258
"163","Allocasuarina zephyrea","Allocasuarina","Casuarinaceae",6.67,1.96,3.35,6,1,NA,0.785,NA,NA
"164","Allophylus cobbe","Allophylus","Sapindaceae",92.5,4.5,6,6,47.5,NA,NA,NA,NA
"165","Alloxylon flammeum","Alloxylon","Proteaceae",170,8.5,33,36,37,3,NA,0.475,0.343
"166","Alloxylon pinnatum","Alloxylon","Proteaceae",155,4,18.2,25,30,2,4700,0.53,0.312
"167","Alloxylon wickhamii","Alloxylon","Proteaceae",130,8.5,44.2,30,26.2,3,4620,0.448,0.462
"168","Alnus cordata","Alnus","Betulaceae",65,NA,NA,15,NA,NA,NA,NA,NA
"169","Aloe arborescens","Aloe","Asphodelaceae",478,NA,NA,3,55,NA,NA,NA,NA
"170","Aloe parvibracteata","Aloe","Asphodelaceae",350,2.5,3.5,1.5,NA,NA,NA,NA,NA
"171","Aloe maculata","Aloe","Asphodelaceae",208,NA,NA,0.8,NA,NA,NA,NA,NA
"172","Aloe vera","Aloe","Asphodelaceae",500,NA,NA,1,NA,NA,NA,NA,NA
"173","Alpinia arctiflora","Alpinia","Zingiberaceae",NA,NA,3,4,NA,NA,3420,0.0724,0.14
"174","Alpinia arundelliana","Alpinia","Zingiberaceae",102,NA,NA,2,30,NA,NA,NA,NA
"175","Alpinia caerulea","Alpinia","Zingiberaceae",267,NA,3.5,4,60.8,NA,20100,0.132,0.155
"176","Alpinia hylandii","Alpinia","Zingiberaceae",130,NA,4.5,1.5,22.5,NA,NA,NA,NA
"177","Alpinia modesta","Alpinia","Zingiberaceae",200,NA,4,2,32.5,NA,1700,0.232,0.144
"178","Pleuranthodium racemigerum","Pleuranthodium","Zingiberaceae",NA,NA,4.5,4,NA,NA,NA,NA,NA
"179","Alstroemeria aurea","Alstroemeria","Alstroemeriaceae",90,2.5,2.5,NA,15,2.5,NA,NA,NA
"180","Alstroemeria psittacina","Alstroemeria","Alstroemeriaceae",65,2.75,2.75,NA,22.5,2.75,NA,NA,NA
"181","Ammannia pubiflora","Ammannia","Lythraceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"182","Amomum dallachyi","Amomum","Zingiberaceae",NA,NA,3.5,5,NA,NA,NA,NA,NA
"183","Amomum queenslandicum","Amomum","Zingiberaceae",500,NA,3,3,95,NA,NA,NA,NA
"184","Amyema benthamii","Amyema","Loranthaceae",50.8,NA,NA,NA,25.2,NA,NA,NA,NA
"185","Amyema bifurcata","Amyema","Loranthaceae",207,NA,7,NA,14,NA,NA,NA,NA
"186","Amyema biniflora","Amyema","Loranthaceae",130,NA,NA,NA,11.5,NA,NA,NA,NA
"187","Amyema cambagei","Amyema","Loranthaceae",105,NA,NA,NA,1.15,NA,NA,NA,NA
"188","Amyema congener subsp. congener","Amyema","Loranthaceae",70,NA,NA,NA,25,NA,NA,NA,NA
"189","Amyema congener subsp. divergens","Amyema","Loranthaceae",37.5,NA,NA,NA,13.5,NA,NA,NA,NA
"190","Amyema congener subsp. rotundifolia","Amyema","Loranthaceae",37.5,NA,NA,NA,24.5,NA,NA,NA,NA
"191","Amyema congener","Amyema","Loranthaceae",70,NA,NA,NA,28.8,NA,NA,NA,NA
"192","Amyema conspicua","Amyema","Loranthaceae",58.8,NA,3,NA,28.5,NA,NA,NA,NA
"193","Amyema dolichopoda","Amyema","Loranthaceae",52.5,NA,NA,NA,14,NA,NA,NA,NA
"194","Amyema fitzgeraldii","Amyema","Loranthaceae",30,NA,NA,NA,13,NA,NA,NA,NA
"195","Amyema friesiana","Amyema","Loranthaceae",130,NA,NA,NA,65,NA,NA,NA,NA
"196","Amyema gaudichaudii","Amyema","Loranthaceae",28.8,NA,NA,NA,3.75,NA,NA,NA,NA
"197","Amyema gibberula","Amyema","Loranthaceae",75,NA,NA,NA,20,NA,NA,NA,NA
"198","Amyema glabra","Amyema","Loranthaceae",50,NA,8,NA,29,NA,NA,NA,NA
"199","Amyema haematodes","Amyema","Loranthaceae",62.8,NA,NA,NA,35.8,NA,NA,NA,NA
"200","Amyema herbertiana","Amyema","Loranthaceae",30,NA,NA,NA,4.5,NA,NA,NA,NA
"201","Amyema hilliana","Amyema","Loranthaceae",55,NA,NA,NA,17.5,NA,NA,NA,NA
"202","Amyema linophylla subsp. linophylla","Amyema","Loranthaceae",1.5,NA,NA,NA,1.5,NA,NA,NA,NA
"203","Amyema linophylla subsp. orientalis","Amyema","Loranthaceae",1.9,NA,NA,NA,1.9,NA,NA,NA,NA
"204","Amyema linophylla","Amyema","Loranthaceae",105,NA,NA,NA,2.12,NA,NA,NA,NA
"205","Amyema lucasii","Amyema","Loranthaceae",48.8,NA,NA,NA,15.9,NA,384,NA,NA
"206","Amyema mackayense","Amyema","Loranthaceae",42.5,NA,NA,NA,28.5,NA,NA,NA,NA
"207","Amyema maidenii subsp. angustifolia","Amyema","Loranthaceae",45,NA,NA,NA,7.5,NA,NA,NA,NA
"208","Amyema maidenii subsp. maidenii","Amyema","Loranthaceae",35,NA,NA,NA,14,NA,NA,NA,NA
"209","Amyema maidenii","Amyema","Loranthaceae",38.5,NA,NA,3,15,NA,372,NA,0.587
"210","Amyema melaleucae","Amyema","Loranthaceae",30,NA,NA,NA,3.75,NA,NA,NA,NA
"211","Amyema microphylla","Amyema","Loranthaceae",6.5,NA,NA,NA,1.25,NA,NA,NA,NA
"212","Amyema miquelii","Amyema","Loranthaceae",199,NA,NA,3,18.4,NA,1010,NA,0.575
"213","Amyema miraculosa subsp. boormanii","Amyema","Loranthaceae",65.1,NA,NA,NA,11.4,NA,564,NA,0.997
"214","Amyema miraculosa subsp. miraculosa","Amyema","Loranthaceae",40,NA,NA,NA,NA,NA,NA,NA,NA
"215","Amyema miraculosa","Amyema","Loranthaceae",75.6,NA,NA,NA,13.8,NA,NA,NA,NA
"216","Amyema nestor","Amyema","Loranthaceae",55,NA,NA,NA,18.5,NA,NA,NA,NA
"217","Amyema pendula","Amyema","Loranthaceae",325,NA,NA,25,12,NA,NA,NA,NA
"218","Amyema preissii","Amyema","Loranthaceae",60,NA,NA,NA,1.77,NA,NA,NA,NA
"219","Amyema quandang var. bancroftii","Amyema","Loranthaceae",325,NA,NA,NA,NA,NA,NA,NA,NA
"220","Amyema quandang var. quandang","Amyema","Loranthaceae",14,NA,NA,NA,NA,NA,NA,NA,NA
"221","Amyema quandang","Amyema","Loranthaceae",86.2,NA,NA,3,24.2,NA,NA,NA,NA
"222","Amyema quaternifolia","Amyema","Loranthaceae",80,NA,NA,NA,35,NA,NA,NA,NA
"223","Amyema queenslandica","Amyema","Loranthaceae",60,NA,4,NA,45,NA,NA,NA,NA
"224","Amyema sanguinea var. pulchra","Amyema","Loranthaceae",80,NA,NA,NA,42.5,NA,NA,NA,NA
"225","Amyema sanguinea var. sanguinea","Amyema","Loranthaceae",155,NA,NA,NA,17.5,NA,NA,NA,NA
"226","Amyema sanguinea","Amyema","Loranthaceae",141,NA,NA,NA,25,NA,NA,NA,NA
"227","Amyema seemeniana subsp. flexuosa","Amyema","Loranthaceae",90,NA,NA,NA,NA,NA,NA,NA,NA
