"","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness"
"8117","Daviesia nova-anglica","Daviesia","Fabaceae",9,NA,NA,2,4.5,NA,NA,NA,NA
"8118","Daviesia nudiflora","Daviesia","Fabaceae",27,3,4.75,2.5,10,1.85,NA,NA,NA
"8119","Daviesia obovata","Daviesia","Fabaceae",72.5,2.25,NA,1.5,31.5,1.75,NA,NA,NA
"8120","Daviesia oppositifolia","Daviesia","Fabaceae",79.5,NA,NA,2,24,NA,NA,NA,NA
"8121","Daviesia ovata","Daviesia","Fabaceae",52.5,NA,NA,1.8,25.5,NA,NA,NA,NA
"8122","Daviesia oxyclada","Daviesia","Fabaceae",7.5,NA,NA,0.6,2.5,NA,NA,NA,NA
"8123","Daviesia oxylobium","Daviesia","Fabaceae",45,NA,NA,1,1.25,NA,NA,NA,NA
"8124","Daviesia pachyloma","Daviesia","Fabaceae",36.5,NA,2.95,0.5,1.5,1.3,NA,NA,NA
"8125","Daviesia pachyphylla","Daviesia","Fabaceae",19.5,NA,NA,1.5,7,NA,NA,NA,NA
"8126","Daviesia pauciflora","Daviesia","Fabaceae",NA,NA,NA,0.8,1.5,NA,NA,NA,NA
"8127","Daviesia pectinata","Daviesia","Fabaceae",43,2.35,3.75,2.5,7.75,1.45,NA,NA,NA
"8128","Daviesia pedunculata","Daviesia","Fabaceae",19,NA,NA,0.6,6.5,NA,NA,NA,NA
"8129","Daviesia physodes","Daviesia","Fabaceae",32.5,2.75,3.9,1.8,5.5,NA,NA,NA,NA
"8130","Daviesia pleurophylla","Daviesia","Fabaceae",15,NA,NA,3,NA,NA,NA,NA,NA
"8131","Daviesia podophylla","Daviesia","Fabaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"8132","Daviesia polyphylla","Daviesia","Fabaceae",12.5,2.35,3.75,0.6,2,1.85,NA,NA,NA
"8133","Daviesia preissii","Daviesia","Fabaceae",28.8,NA,NA,1.8,4.19,NA,NA,NA,NA
"8134","Daviesia pseudaphylla","Daviesia","Fabaceae",NA,NA,NA,0.35,1.12,NA,NA,NA,NA
"8135","Daviesia pteroclada","Daviesia","Fabaceae",NA,NA,4.15,1.8,NA,NA,NA,NA,NA
"8136","Daviesia pubigera","Daviesia","Fabaceae",10.8,NA,4.8,2,2.5,1.9,NA,NA,NA
"8137","Daviesia purpurascens","Daviesia","Fabaceae",27.5,NA,NA,1,1.1,NA,NA,NA,NA
"8138","Daviesia quadrilatera","Daviesia","Fabaceae",19,NA,NA,1.2,9.5,NA,NA,NA,NA
"8139","Daviesia quoquoversus","Daviesia","Fabaceae",7.5,NA,NA,2,4.25,NA,NA,NA,NA
"8140","Daviesia ramosissima","Daviesia","Fabaceae",24,NA,NA,1.2,NA,NA,NA,NA,NA
"8141","Daviesia reclinata","Daviesia","Fabaceae",85,2.6,4.3,2,4,NA,NA,NA,NA
"8142","Daviesia retrorsa","Daviesia","Fabaceae",27.5,2.75,3.75,1.6,1.25,2.25,NA,NA,NA
"8143","Daviesia rhizomata","Daviesia","Fabaceae",24.5,NA,NA,NA,1.5,NA,NA,NA,NA
"8144","Daviesia rhombifolia","Daviesia","Fabaceae",21.8,NA,NA,0.8,17.5,NA,222,NA,0.513
"8145","Daviesia rubiginosa","Daviesia","Fabaceae",140,NA,NA,2,0.75,NA,NA,NA,NA
"8146","Daviesia sarissa","Daviesia","Fabaceae",45,NA,NA,0.5,1.5,NA,NA,NA,NA
"8147","Daviesia scabrella","Daviesia","Fabaceae",15,NA,NA,0.5,NA,NA,NA,NA,NA
"8148","Daviesia schwarzenegger","Daviesia","Fabaceae",17.5,NA,NA,1.3,1.5,NA,NA,NA,NA
"8149","Daviesia scoparia","Daviesia","Fabaceae",NA,NA,NA,2,NA,NA,NA,NA,NA
"8150","Daviesia sejugata","Daviesia","Fabaceae",29.5,1.33,2.75,2,5.25,NA,NA,NA,NA
"8151","Daviesia smithiorum","Daviesia","Fabaceae",30,NA,NA,0.5,0.75,NA,NA,NA,NA
"8152","Daviesia speciosa","Daviesia","Fabaceae",47.5,NA,NA,0.8,NA,NA,NA,NA,NA
"8153","Daviesia spinosissima","Daviesia","Fabaceae",12.5,NA,NA,2,1.75,NA,NA,NA,NA
"8154","Daviesia spiralis","Daviesia","Fabaceae",NA,2.25,3.5,1.5,NA,1.85,NA,NA,NA
"8155","Daviesia squarrosa","Daviesia","Fabaceae",8,1.85,3.25,1.5,5.25,NA,11.7,0.733,NA
"8156","Daviesia striata","Daviesia","Fabaceae",11.5,NA,NA,1.2,5.25,NA,NA,NA,NA
"8157","Daviesia stricta","Daviesia","Fabaceae",55,NA,NA,1.5,8.38,NA,NA,NA,NA
"8158","Daviesia subulata","Daviesia","Fabaceae",8,NA,2.75,1.6,2.75,NA,NA,NA,NA
"8159","Daviesia teretifolia","Daviesia","Fabaceae",32,NA,NA,1.2,1.75,NA,NA,NA,NA
"8160","Daviesia tortuosa","Daviesia","Fabaceae",22.5,NA,NA,1,8,NA,NA,NA,NA
"8161","Daviesia triflora","Daviesia","Fabaceae",NA,NA,NA,0.6,NA,NA,NA,NA,NA
"8162","Daviesia trigonophylla","Daviesia","Fabaceae",9,NA,NA,1,4.5,NA,NA,NA,NA
"8163","Daviesia umbellulata","Daviesia","Fabaceae",15.5,NA,NA,1,4.62,NA,38.6,0.654,NA
"8164","Daviesia umbonata","Daviesia","Fabaceae",15,2.2,3.9,1,3.5,1.2,NA,NA,NA
"8165","Daviesia uncinata","Daviesia","Fabaceae",37.5,NA,NA,0.7,1.5,NA,NA,NA,NA
"8166","Daviesia uniflora","Daviesia","Fabaceae",10,2.5,3.5,0.7,5.5,NA,NA,NA,NA
"8167","Daviesia villifera","Daviesia","Fabaceae",7.5,NA,NA,2,4,NA,21.1,0.668,NA
"8168","Carex breviculmis","Carex","Cyperaceae",233,1.7,2.75,1,2.5,NA,136,NA,NA
"8169","Dichelachne crinita","Dichelachne","Poaceae",152,1.5,4.32,1.5,3.55,NA,197,NA,NA
"8170","Eryngium vesiculosum","Eryngium","Apiaceae",97.5,4,5.5,0.2,10,NA,3530,NA,NA
"8171","Geranium solanderi","Geranium","Geraniaceae",51.2,3.5,4,0.5,34.8,NA,883,NA,NA
"8172","Hemarthria uncinata","Hemarthria","Poaceae",100,1.5,7,1.1,3.17,NA,2410,NA,NA
"8173","Isolepis cernua","Isolepis","Cyperaceae",NA,0.4,0.7,0.3,NA,NA,188,NA,NA
"8174","Lobelia pratioides","Lobelia","Campanulaceae",15.5,0.297,0.851,0.0858,3.5,NA,NA,NA,NA
"8175","Oxalis corniculata","Oxalis","Oxalidaceae",10.5,NA,NA,0.3,8.08,NA,23.7,NA,NA
"8176","Poa labillardierei","Poa","Poaceae",351,1,3.5,1.2,2.11,NA,814,NA,NA
"8177","Acacia rigens","Acacia","Fabaceae",102,NA,NA,6,1.33,NA,NA,0.918,0.752
"8178","Acacia stricta","Acacia","Fabaceae",108,2,5,6,7.82,NA,1020,0.74,0.295
"8179","Boronia ledifolia","Boronia","Rutaceae",31,NA,NA,2.5,4.12,NA,51.1,0.747,0.483
"8180","Ceratopetalum gummiferum","Ceratopetalum","Cunoniaceae",55,NA,NA,4,15.6,NA,577,NA,0.407
"8181","Correa reflexa","Correa","Rutaceae",36.1,NA,NA,3,24.6,NA,520,0.706,0.26
"8182","Dodonaea attenuata","Dodonaea","Sapindaceae",NA,NA,NA,NA,1.55,NA,43.4,NA,0.527
"8183","Flindersia maculosa","Flindersia","Rutaceae",41.3,NA,NA,15,7.85,NA,224,0.827,0.432
"8184","Coronidium elatum","Coronidium","Asteraceae",100,NA,NA,2,24.1,NA,1320,NA,0.231
"8185","Hibbertia cistiflora","Hibbertia","Dilleniaceae",12.8,NA,NA,1.5,0.95,NA,8.3,NA,0.65
"8186","Hibbertia diffusa","Hibbertia","Dilleniaceae",22.5,NA,NA,0.5,8,NA,NA,NA,0.244
"8187","Leptospermum laevigatum","Leptospermum","Myrtaceae",25,0.3,2.5,8,6.25,NA,143,NA,0.432
"8188","Leptospermum polygalifolium","Leptospermum","Myrtaceae",12.5,1,1.5,10,3.8,NA,25.5,0.743,0.306
"8189","Melaleuca linariifolia","Melaleuca","Myrtaceae",26.2,NA,NA,10,2.15,NA,NA,0.682,0.244
"8190","Phyllanthus gasstroemii","Phyllanthus","Phyllanthaceae",NA,NA,NA,NA,5.3,NA,NA,NA,0.148
"8191","Senecio pinnatifolius var. pinnatifolius","Senecio","Asteraceae",NA,NA,NA,0.7,5.2,NA,NA,NA,2.08
"8192","Senecio linearifolius","Senecio","Asteraceae",NA,0.8,2,2,23.7,NA,2220,NA,0.291
"8193","Senecio magnificus","Senecio","Asteraceae",70,NA,NA,2,19.5,NA,900,NA,0.623
"8194","Abutilon halophilum","Abutilon","Malvaceae",19.2,NA,NA,1,22.5,NA,391,NA,0.61
"8195","Abutilon leucopetalum","Abutilon","Malvaceae",58.9,NA,NA,2,62,NA,3610,NA,0.181
"8196","Acacia cana","Acacia","Fabaceae",86.8,NA,NA,6,3.46,NA,206,NA,0.749
"8197","Alectryon oleifolius subsp. elongatus","Alectryon","Sapindaceae",75.3,NA,NA,NA,10.5,NA,663,NA,0.477
"8198","Anemocarpa podolepidium","Anemocarpa","Asteraceae",52.1,NA,NA,NA,23.2,NA,679,NA,0.539
"8199","Arabidella trisecta","Arabidella","Brassicaceae",33.8,NA,NA,0.6,1.93,NA,46.6,NA,0.496
"8200","Astrebla pectinata","Astrebla","Poaceae",165,NA,NA,1.2,4.03,NA,541,NA,1.39
"8201","Atriplex holocarpa","Atriplex","Chenopodiaceae",23.1,NA,NA,0.4,15.6,NA,232,NA,0.312
"8202","Atriplex nummularia","Atriplex","Chenopodiaceae",32.6,NA,NA,3,25.5,NA,214,0.895,0.516
"8203","Boerhavia dominii","Boerhavia","Nyctaginaceae",23.8,NA,NA,1,10.4,NA,164,NA,0.278
"8204","Calandrinia ptychosperma","Calandrinia","Portulacaceae",45.1,NA,NA,NA,2.59,NA,196,NA,1.55
"8205","Euphorbia drummondii","Euphorbia","Euphorbiaceae",6.02,NA,NA,0.3,3.05,NA,15.5,NA,0.201
"8206","Cheilanthes sieberi subsp. sieberi","Cheilanthes","Pteridaceae",27.8,NA,NA,0.4,3.69,NA,273,NA,0.251
"8207","Chenopodium desertorum subsp. anidiophyllum","Chenopodium","Chenopodiaceae",15.8,NA,NA,0.4,10.9,NA,131,NA,0.235
"8208","Dysphania melanocarpa","Dysphania","Chenopodiaceae",26.1,NA,NA,0.1,13.6,NA,186,NA,0.183
"8209","Crotalaria eremaea","Crotalaria","Fabaceae",49,NA,NA,2,5.85,NA,469,NA,0.357
"8210","Cullen australasicum","Cullen","Fabaceae",60.8,NA,NA,2.5,33.4,NA,1550,0.788,0.278
"8211","Dactyloctenium radulans","Dactyloctenium","Poaceae",51.4,NA,NA,0.4,3.67,NA,116,NA,0.155
"8212","Dissocarpus paradoxus","Dissocarpus","Chenopodiaceae",12.6,NA,NA,0.5,2.14,NA,22.1,NA,1.41
"8213","Einadia nutans","Einadia","Chenopodiaceae",24.4,1.25,1.25,0.6,8.88,NA,365,NA,0.727
"8214","Enchylaena tomentosa","Enchylaena","Chenopodiaceae",16.2,NA,NA,1.5,1.35,NA,21.6,0.793,1.16
"8215","Erodium crinitum","Erodium","Geraniaceae",34.9,NA,NA,0.9,16.5,NA,456,NA,0.399
"8216","Erodium janszii","Erodium","Geraniaceae",38.9,NA,NA,NA,9.4,NA,914,NA,0.287
"8217","Eucalyptus camaldulensis subsp. obtusa","Eucalyptus","Myrtaceae",115,NA,NA,NA,27.4,NA,2170,NA,0.363
"8218","Euphorbia parvicaruncula","Euphorbia","Euphorbiaceae",27.4,NA,NA,0.5,7.8,NA,205,NA,0.367
"8219","Gunniopsis quadrifida","Gunniopsis","Aizoaceae",22.1,NA,NA,1,2.75,NA,65.9,NA,16
"8220","Harmsiodoxa brevipes","Harmsiodoxa","Brassicaceae",50.8,NA,NA,0.4,10.2,NA,463,NA,0.316
"8221","Heliotropium europaeum","Heliotropium","Boraginaceae",47.9,NA,NA,0.3,21.2,NA,902,NA,0.315
"8222","Hibiscus sturtii var. grandiflorus","Hibiscus","Malvaceae",38.9,NA,NA,0.3,23.7,NA,557,NA,0.383
"8223","Indigofera australis","Indigofera","Fabaceae",38.9,1.5,1.7,2.5,7.78,NA,616,0.614,0.208
"8224","Leiocarpa tomentosa","Leiocarpa","Asteraceae",23.7,NA,NA,0.8,4.41,NA,142,NA,0.32
"8225","Lepidium phlebopetalum","Lepidium","Brassicaceae",29.5,NA,NA,0.3,2.48,NA,35.7,NA,0.757
"8226","Maireana pyramidata","Maireana","Chenopodiaceae",4.79,NA,NA,1.5,1.56,NA,5.94,NA,1.61
"8227","Pimelea microcephala subsp. Microcephala","Pimelea","Thymelaeaceae",20.8,NA,NA,NA,3.3,NA,53.8,NA,0.351
"8228","Pimelea simplex subsp. simplex","Pimelea","Thymelaeaceae",18.2,NA,NA,NA,2.95,NA,46.8,NA,0.286
"8229","Plantago debilis","Plantago","Plantaginaceae",81.3,1,2.2,0.4,20.6,NA,1960,NA,0.753
"8230","Polycarpaea arida","Polycarpaea","Caryophyllaceae",10,NA,0.55,0.15,1.24,NA,12.9,NA,0.401
"8231","Portulaca oleracea","Portulaca","Portulacaceae",18.7,NA,NA,0.2,6.93,NA,73.5,NA,1.24
"8232","Ptilotus gaudichaudii subsp. gaudichaudii","Ptilotus","Amaranthaceae",38.8,NA,NA,1,3.08,NA,102,NA,0.515
"8233","Ptilotus nobilis","Ptilotus","Amaranthaceae",91.7,NA,NA,1,39.4,NA,2770,NA,0.657
"8234","Ptilotus obovatus","Ptilotus","Amaranthaceae",27.1,NA,NA,1.4,14.1,NA,267,NA,0.443
"8235","Ptilotus polystachyus","Ptilotus","Amaranthaceae",85.4,NA,NA,1.5,10.5,NA,818,NA,0.552
"8236","Rhagodia spinescens","Rhagodia","Chenopodiaceae",14.6,NA,NA,3,10.1,NA,58.2,NA,0.777
"8237","Rhodanthe troedelii","Rhodanthe","Asteraceae",23.5,NA,NA,0.28,2.63,NA,76.7,NA,0.257
"8238","Rhynchosia minima","Rhynchosia","Fabaceae",38.3,2.5,2.7,NA,22.1,NA,356,NA,0.177
"8239","Salsola kali var. kali","Salsola","Chenopodiaceae",13.7,NA,NA,NA,2.1,NA,24.8,NA,0.99
"8240","Cynanchum viminale subsp. australe","Cynanchum","Apocynaceae",NA,NA,NA,2,NA,NA,NA,NA,4.95
"8241","Sclerolaena tricuspis","Sclerolaena","Chenopodiaceae",16.5,NA,NA,1,1.31,NA,29.2,NA,2.1
"8242","Senecio lanibracteus","Senecio","Asteraceae",57.5,NA,NA,NA,10.8,NA,503,NA,0.449
"8243","Sida corrugata","Sida","Malvaceae",17.5,NA,NA,0.3,11.9,NA,189,NA,0.229
"8244","Solanum chenopodinum","Solanum","Solanaceae",52.3,NA,NA,1,27.8,NA,702,NA,0.305
"8245","Stemodia florulenta","Stemodia","Plantaginaceae",21.6,NA,NA,0.8,4.47,NA,86.7,NA,0.301
"8246","Swainsona formosa","Swainsona","Fabaceae",25.8,NA,NA,0.2,12.9,NA,402,NA,0.277
"8247","Tetragonia tetragonoides","Tetragonia","Aizoaceae",64.3,10,6.25,0.3,32.5,NA,1260,NA,0.641
"8248","Zaleya galericulata","Zaleya","Aizoaceae",28.3,NA,NA,0.3,15.7,NA,421,NA,0.357
"8249","Roepera iodocarpa","Roepera","Zygophyllaceae",22.5,NA,NA,0.3,10.6,NA,334,NA,0.708
"8250","Angophora costata","Angophora","Myrtaceae",47.1,NA,NA,30,21.1,NA,2120,0.647,0.322
"8251","Aristida latifolia","Aristida","Poaceae",525,NA,NA,1.31,3.25,NA,426,NA,0.116
"8252","Baeckea cunninghamii","Baeckea","Myrtaceae",NA,NA,NA,NA,NA,NA,3.6,NA,0.308
"8253","Carex longebrachiata","Carex","Cyperaceae",NA,1.7,6.5,0.8,NA,NA,1200,NA,0.23
"8254","Cyathochaeta diandra","Cyathochaeta","Cyperaceae",NA,NA,NA,0.9,1.9,NA,835,NA,0.725
"8255","Enneapogon intermedius","Enneapogon","Poaceae",NA,NA,1.75,0.7,1.5,NA,90.2,NA,0.122
"8256","Entolasia stricta","Entolasia","Poaceae",52.5,NA,NA,1.5,3,NA,108,NA,0.147
"8257","Eragrostis setifolia","Eragrostis","Poaceae",85,NA,NA,0.6,1.05,NA,105,NA,0.183
"8258","Eucalyptus socialis","Eucalyptus","Myrtaceae",88.8,NA,NA,10,16.7,NA,997,0.765,0.534
"8259","Gahnia sp. [Duncan_1998]","Gahnia","Cyperaceae",NA,NA,NA,NA,NA,NA,1670,NA,0.271
"8260","Lepidosperma laterale","Lepidosperma","Cyperaceae",NA,2.2,2.9,1,5.22,NA,3380,NA,0.634
"8261","Leptospermum divaricatum","Leptospermum","Myrtaceae",4.5,NA,NA,4,1.5,NA,13.5,NA,0.214
"8262","Leptospermum rotundifolium","Leptospermum","Myrtaceae",NA,NA,NA,3,3.4,NA,13.1,NA,0.337
"8263","Melaleuca","Melaleuca","Myrtaceae",NA,NA,NA,NA,NA,NA,5.4,NA,0.371
"8264","Micromyrtus sessilis","Micromyrtus","Myrtaceae",2.25,NA,NA,1.5,0.65,NA,1.3,0.93,0.247
"8265","Oplismenus hirtellus","Oplismenus","Poaceae",55,NA,NA,3,6.58,NA,233,NA,0.093
"8266","Panicum pygmaeum","Panicum","Poaceae",27.5,NA,NA,0.3,3.5,NA,84.9,NA,0.079
"8267","Panicum simile","Panicum","Poaceae",90,NA,NA,0.7,2.25,NA,124,NA,0.162
"8268","Austrostipa scabra","Austrostipa","Poaceae",106,1.5,4.75,0.95,1.43,NA,317,NA,0.173
"8269","Triodia irritans","Triodia","Poaceae",150,NA,NA,1,1.25,NA,164,NA,0.343
"8270","Actinobole uliginosum","Actinobole","Asteraceae",31.5,NA,NA,0.12,2.72,NA,13.2,NA,NA
"8271","Aira cupaniana","Aira","Poaceae",52.5,NA,NA,0.5,0.65,NA,20.5,NA,NA
"8272","Arctotheca calendula","Arctotheca","Asteraceae",123,NA,NA,0.3,34,NA,644,NA,NA
"8273","Aristida contorta","Aristida","Poaceae",65,NA,3.75,0.5,1,NA,30.5,NA,NA
"8274","Austrostipa elegantissima","Austrostipa","Poaceae",62.5,NA,4.5,3,1.62,NA,84,NA,NA
"8275","Austrostipa macalpinei","Austrostipa","Poaceae",125,NA,3.5,0.9,1.5,NA,NA,NA,NA
"8276","Austrostipa sp. [Austrostipa sp3; Dwyer_2017]","Austrostipa","Poaceae",NA,NA,NA,0.314,NA,NA,NA,NA,NA
"8277","Avena barbata","Avena","Poaceae",68.3,NA,NA,1.72,6.33,NA,287,NA,NA
"8278","Bellida graminea","Bellida","Asteraceae",NA,NA,NA,0.15,NA,NA,NA,NA,NA
"8279","Brachyscome ciliaris","Brachyscome","Asteraceae",35,NA,NA,0.45,6.65,NA,360,NA,NA
"8280","Brachyscome iberidifolia","Brachyscome","Asteraceae",47.5,NA,NA,0.45,12.5,NA,NA,NA,NA
"8281","Brassica tournefortii","Brassica","Brassicaceae",NA,NA,NA,0.6,10.7,NA,308,NA,NA
"8282","Briza maxima","Briza","Poaceae",64.2,NA,NA,0.6,5.5,NA,255,NA,NA
"8283","Bromus rubens","Bromus","Poaceae",NA,NA,NA,0.52,2.5,NA,NA,NA,NA
"8284","Caladenia denticulata","Caladenia","Orchidaceae",NA,NA,NA,0.35,NA,NA,NA,NA,NA
"8285","Caladenia roei","Caladenia","Orchidaceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"8286","Caladenia","Caladenia","Orchidaceae",NA,NA,NA,0.075,NA,NA,NA,NA,NA
"8287","Calandrinia corrigioloides","Calandrinia","Portulacaceae",22.5,NA,NA,0.6,3,NA,NA,NA,NA
"8288","Calandrinia granulifera","Calandrinia","Portulacaceae",8.5,0.5,0.55,0.05,3.38,NA,NA,NA,NA
"8289","Calocephalus multiflorus","Calocephalus","Asteraceae",NA,NA,NA,0.095,NA,NA,NA,NA,NA
"8290","Calotis hispidula","Calotis","Asteraceae",12.5,NA,NA,0.3,4.04,NA,74,NA,NA
"8291","Calotis multicaulis","Calotis","Asteraceae",32.5,NA,NA,0.5,6,NA,NA,NA,NA
"8292","Carrichtera annua","Carrichtera","Brassicaceae",NA,NA,NA,0.4,NA,NA,NA,NA,NA
"8293","Centrolepis drummondiana","Centrolepis","Centrolepidaceae",18.5,NA,NA,0.12,0.625,NA,NA,NA,NA
"8294","Centrolepis sp. [Dwyer_2017]","Centrolepis","Centrolepidaceae",NA,NA,NA,0.0199,NA,NA,NA,NA,NA
"8295","Centrolepis sp. [Centrolepis sp2; Dwyer_2017]","Centrolepis","Centrolepidaceae",NA,NA,NA,0.103,NA,NA,NA,NA,NA
"8296","Cephalipterum drummondii","Cephalipterum","Asteraceae",27.5,NA,NA,0.413,2,NA,NA,NA,NA
"8297","Ceratogyne obionoides","Ceratogyne","Asteraceae",9.25,NA,NA,0.156,2.38,NA,NA,NA,NA
"8298","Chamaescilla versicolor","Chamaescilla","Asparagaceae",NA,NA,NA,0.4,NA,NA,NA,NA,NA
"8299","Chthonocephalus pseudevax","Chthonocephalus","Asteraceae",15.5,NA,NA,0.02,2.75,NA,10,NA,NA
"8300","Crassula closiana","Crassula","Crassulaceae",5.75,NA,NA,0.1,2.25,NA,NA,NA,NA
"8301","Crassula colorata","Crassula","Crassulaceae",3.5,NA,NA,0.15,2.42,NA,2,NA,NA
"8302","Cyanicula amplexans","Cyanicula","Orchidaceae",NA,NA,NA,0.2,NA,NA,NA,NA,NA
"8303","Cyanicula gemmata","Cyanicula","Orchidaceae",30,NA,NA,0.15,12.5,NA,NA,NA,NA
"8304","Cyperaceae sp. [Dwyer_2017]","Cyperaceae","Cyperaceae",NA,NA,NA,0.181,NA,NA,NA,NA,NA
"8305","Drosera erythrorhiza","Drosera","Droseraceae",19,NA,NA,0.12,11.5,NA,NA,NA,NA
"8306","Drosera glanduligera","Drosera","Droseraceae",10.8,0.4,0.4,0.06,7.5,0.4,NA,NA,NA
"8307","Ehrharta longiflora","Ehrharta","Poaceae",NA,NA,NA,0.9,6.5,NA,NA,NA,NA
"8308","Erodium aureum","Erodium","Geraniaceae",26.5,NA,NA,0.2,11,NA,NA,NA,NA
"8309","Erodium cygnorum","Erodium","Geraniaceae",45,NA,NA,0.6,25,NA,557,NA,NA
"8310","Erymophyllum ramosum","Erymophyllum","Asteraceae",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"8311","Gilberta tenuifolia","Gilberta","Asteraceae",NA,NA,NA,0.15,NA,NA,NA,NA,NA
"8312","Gilruthia osbornei","Gilruthia","Asteraceae",NA,NA,NA,0.046,NA,NA,NA,NA,NA
"8313","Leontodon rhagadioloides","Leontodon","Asteraceae",90,NA,NA,0.5,24,NA,NA,NA,NA
"8314","Hibbertia glomerosa","Hibbertia","Dilleniaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"8315","Hordeum leporinum","Hordeum","Poaceae",NA,NA,NA,0.45,4.12,NA,280,NA,NA
"8316","Hyalosperma demissum","Hyalosperma","Asteraceae",NA,0.2,0.7,0.2,NA,NA,7.85,NA,NA
"8317","Hyalosperma glutinosum subsp. glutinosum","Hyalosperma","Asteraceae",NA,NA,NA,0.25,NA,NA,NA,NA,NA
"8318","Hyalosperma glutinosum subsp. venustum","Hyalosperma","Asteraceae",NA,NA,NA,0.176,NA,NA,NA,NA,NA
"8319","Hydrocotyle pilifera","Hydrocotyle","Araliaceae",7.5,NA,NA,0.2,15,NA,NA,NA,NA
"8320","Isoetopsis graminifolia","Isoetopsis","Asteraceae",35,1,2,0.1,1.23,NA,45.8,NA,NA
"8321","Isotropis juncea","Isotropis","Fabaceae",NA,NA,NA,0.12,NA,NA,NA,NA,NA
"8322","Lawrencella rosea","Lawrencella","Asteraceae",NA,NA,NA,0.262,NA,NA,NA,NA,NA
"8323","Lepidium bonariense","Lepidium","Brassicaceae",55,NA,NA,0.5,1.35,NA,7,NA,NA
"8324","Levenhookia dubia","Levenhookia","Stylidiaceae",4.88,NA,NA,0.08,2,NA,NA,NA,NA
"8325","Levenhookia leptantha","Levenhookia","Stylidiaceae",NA,NA,NA,0.09,NA,NA,NA,NA,NA
"8326","Lysimachia arvensis","Lysimachia","Primulaceae",29,NA,NA,0.23,9.75,NA,151,NA,NA
"8327","Medicago minima","Medicago","Fabaceae",9.75,NA,NA,0.203,5.88,NA,20,NA,NA
"8328","Medicago polymorpha","Medicago","Fabaceae",16.2,NA,NA,0.5,13.2,NA,103,NA,NA
"8329","Menkea sphaerocarpa","Menkea","Brassicaceae",NA,NA,NA,0.0242,NA,NA,NA,NA,NA
"8330","Mesembryanthemum crystallinum","Mesembryanthemum","Aizoaceae",95,NA,NA,0.0276,66.6,NA,NA,NA,NA
"8331","Millotia myosotidifolia","Millotia","Asteraceae",32.5,NA,NA,0.2,3.75,NA,NA,NA,NA
"8332","Millotia tenuifolia","Millotia","Asteraceae",13.5,1,10,0.15,1.85,NA,10.2,NA,NA
"8333","Monachather paradoxus","Monachather","Poaceae",115,NA,1.5,0.7,3.08,NA,520,NA,NA
"8334","Monoculus monstrosus","Monoculus","Asteraceae",60,NA,NA,0.5,15,NA,NA,NA,NA
"8335","Nicotiana rotundifolia","Nicotiana","Solanaceae",NA,NA,NA,1,NA,NA,NA,NA,NA
"8336","Omphalolappula concava","Omphalolappula","Boraginaceae",23.8,NA,NA,0.5,3.57,NA,37,NA,NA
"8337","Ophioglossum lusitanicum","Ophioglossum","Ophioglossaceae",30.8,NA,NA,0.15,6,NA,393,NA,NA
"8338","Orchidaceae sp. [Dwyer_2017]","Orchidaceae","Orchidaceae",NA,NA,NA,0.08,NA,NA,NA,NA,NA
"8339","Parentucellia latifolia","Parentucellia","Orobanchaceae",8.49,NA,NA,0.3,5.04,NA,20.7,NA,NA
"8340","Pentameris airoides","Pentameris","Poaceae",25,NA,NA,0.3,NA,NA,NA,NA,NA
"8341","Petrorhagia dubia","Petrorhagia","Caryophyllaceae",30,NA,NA,0.6,2.75,NA,NA,NA,NA
"8342","Pheladenia deformis","Pheladenia","Orchidaceae",61.4,NA,NA,0.2,3.42,NA,1650,NA,NA
"8343","Phyllangium sulcatum","Phyllangium","Loganiaceae",NA,NA,NA,0.17,NA,NA,NA,NA,NA
"8344","Poaceae sp. [Poaceae sp13; Dwyer_2017]","Poaceae","Poaceae",NA,NA,NA,0.189,NA,NA,NA,NA,NA
"8345","Poaceae sp. [Poaceae sp14; Dwyer_2017]","Poaceae","Poaceae",NA,NA,NA,0.175,NA,NA,NA,NA,NA
"8346","Poaceae sp. [Poaceae sp15; Dwyer_2017]","Poaceae","Poaceae",NA,NA,NA,0.085,NA,NA,NA,NA,NA
"8347","Poaceae sp. [Poaceae sp16; Dwyer_2017]","Poaceae","Poaceae",NA,NA,NA,0.11,NA,NA,NA,NA,NA
"8348","Poaceae sp. [Poaceae sp3; Dwyer_2017]","Poaceae","Poaceae",NA,NA,NA,0.134,NA,NA,NA,NA,NA
"8349","Poaceae sp. [Poaceae sp5; Dwyer_2017]","Poaceae","Poaceae",NA,NA,NA,0.29,NA,NA,NA,NA,NA
"8350","Poaceae sp. [Poaceae sp6; Dwyer_2017]","Poaceae","Poaceae",NA,NA,NA,0.105,NA,NA,NA,NA,NA
"8351","Poaceae sp. [Poaceae sp7; Dwyer_2017]","Poaceae","Poaceae",NA,NA,NA,0.168,NA,NA,NA,NA,NA
"8352","Podolepis canescens","Podolepis","Asteraceae",NA,NA,NA,0.85,NA,NA,333,NA,NA
"8353","Podolepis capillaris","Podolepis","Asteraceae",NA,NA,NA,0.5,NA,NA,7,NA,NA
