X,taxon_name,genus,family,leaf_mass_per_area,leaf_length,leaf_width,plant_height,leaf_area,wood_density,leaf_thickness,leaf_N_per_dry_mass,seed_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,plant_diameter_breast_height,leaf_lifespan
8267,Panicum simile,Panicum,Poaceae,50.9,90,2.25,0.7,124,NA,0.162,29,0.914,1.71,NA,NA,NA
8268,Austrostipa scabra,Austrostipa,Poaceae,148,106,1.43,0.95,317,NA,0.173,NA,0.479,NA,NA,NA,NA
8269,Triodia irritans,Triodia,Poaceae,373,150,1.25,1,164,NA,0.343,10.1,1.06,0.614,NA,NA,NA
8270,Actinobole uliginosum,Actinobole,Asteraceae,118,31.5,2.72,0.12,13.2,NA,NA,NA,0.0866,NA,NA,NA,NA
8271,Aira cupaniana,Aira,Poaceae,24.4,52.5,0.65,0.5,20.5,NA,NA,NA,0.0326,NA,NA,NA,NA
8272,Arctotheca calendula,Arctotheca,Asteraceae,37.1,123,34,0.3,644,NA,NA,41.1,1.12,4.81,381,NA,NA
8273,Aristida contorta,Aristida,Poaceae,101,65,1,0.5,30.5,NA,NA,NA,1.48,NA,NA,NA,NA
8274,Austrostipa elegantissima,Austrostipa,Poaceae,52.3,62.5,1.62,3,84,NA,NA,NA,1.56,NA,NA,NA,NA
8275,Austrostipa macalpinei,Austrostipa,Poaceae,31.8,125,1.5,0.9,NA,NA,NA,NA,1.56,NA,NA,NA,NA
8276,Austrostipa sp. [Austrostipa sp3; Dwyer_2017],Austrostipa,Poaceae,NA,NA,NA,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA
8277,Avena barbata,Avena,Poaceae,122,68.3,6.33,1.72,287,NA,NA,28.4,11.3,2.4,461,NA,NA
8278,Bellida graminea,Bellida,Asteraceae,35.8,NA,NA,0.15,NA,NA,NA,NA,1.43,NA,NA,NA,NA
8279,Brachyscome ciliaris,Brachyscome,Asteraceae,47.2,35,6.65,0.45,360,NA,NA,NA,0.125,NA,NA,NA,NA
8280,Brachyscome iberidifolia,Brachyscome,Asteraceae,108,47.5,12.5,0.45,NA,NA,NA,33.1,0.196,NA,481,NA,NA
8281,Brassica tournefortii,Brassica,Brassicaceae,61.7,NA,10.7,0.6,308,NA,NA,NA,1.34,NA,NA,NA,NA
8282,Briza maxima,Briza,Poaceae,37.2,64.2,5.5,0.6,255,NA,NA,25.1,2,2.17,NA,NA,NA
8283,Bromus rubens,Bromus,Poaceae,49.5,NA,2.5,0.52,NA,NA,NA,28.8,1.14,4.52,448,NA,NA
8284,Caladenia denticulata,Caladenia,Orchidaceae,19.1,NA,NA,0.35,NA,NA,NA,NA,0.0046,NA,NA,NA,NA
8285,Caladenia roei,Caladenia,Orchidaceae,18.5,NA,NA,0.3,NA,NA,NA,NA,0.0046,NA,NA,NA,NA
8286,Caladenia,Caladenia,Orchidaceae,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA
8287,Calandrinia corrigioloides,Calandrinia,Portulacaceae,19.8,22.5,3,0.6,NA,NA,NA,NA,0.171,NA,NA,NA,NA
8288,Calandrinia granulifera,Calandrinia,Portulacaceae,20.4,8.5,3.38,0.05,NA,NA,NA,NA,0.0316,NA,NA,NA,NA
8289,Calocephalus multiflorus,Calocephalus,Asteraceae,18.4,NA,NA,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA
8290,Calotis hispidula,Calotis,Asteraceae,63.9,12.5,4.04,0.3,74,NA,NA,NA,0.574,NA,NA,NA,NA
8291,Calotis multicaulis,Calotis,Asteraceae,26.8,32.5,6,0.5,NA,NA,NA,NA,1.54,NA,NA,NA,NA
8292,Carrichtera annua,Carrichtera,Brassicaceae,28,NA,NA,0.4,NA,NA,NA,NA,0.75,NA,NA,NA,NA
8293,Centrolepis drummondiana,Centrolepis,Centrolepidaceae,27.5,18.5,0.625,0.12,NA,NA,NA,NA,0.0425,NA,NA,NA,NA
8294,Centrolepis sp. [Dwyer_2017],Centrolepis,Centrolepidaceae,NA,NA,NA,0.0199,NA,NA,NA,NA,NA,NA,NA,NA,NA
8295,Centrolepis sp. [Centrolepis sp2; Dwyer_2017],Centrolepis,Centrolepidaceae,NA,NA,NA,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA
8296,Cephalipterum drummondii,Cephalipterum,Asteraceae,26.8,27.5,2,0.413,NA,NA,NA,NA,2.89,NA,NA,NA,NA
8297,Ceratogyne obionoides,Ceratogyne,Asteraceae,30.2,9.25,2.38,0.156,NA,NA,NA,NA,0.908,NA,NA,NA,NA
8298,Chamaescilla versicolor,Chamaescilla,Asparagaceae,29.5,NA,NA,0.4,NA,NA,NA,NA,0.525,NA,NA,NA,NA
8299,Chthonocephalus pseudevax,Chthonocephalus,Asteraceae,29.2,15.5,2.75,0.02,10,NA,NA,NA,0.163,NA,NA,NA,NA
8300,Crassula closiana,Crassula,Crassulaceae,20,5.75,2.25,0.1,NA,NA,NA,NA,0.00651,NA,NA,NA,NA
8301,Crassula colorata,Crassula,Crassulaceae,23.7,3.5,2.42,0.15,2,NA,NA,NA,0.00906,NA,NA,NA,NA
8302,Cyanicula amplexans,Cyanicula,Orchidaceae,27.4,NA,NA,0.2,NA,NA,NA,NA,0.0046,NA,NA,NA,NA
8303,Cyanicula gemmata,Cyanicula,Orchidaceae,27.4,30,12.5,0.15,NA,NA,NA,NA,0.0046,NA,NA,NA,NA
8304,Cyperaceae sp. [Dwyer_2017],Cyperaceae,Cyperaceae,NA,NA,NA,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA
8305,Drosera erythrorhiza,Drosera,Droseraceae,NA,19,11.5,0.12,NA,NA,NA,NA,0.172,1.6,NA,NA,NA
8306,Drosera glanduligera,Drosera,Droseraceae,NA,10.8,7.5,0.06,NA,NA,NA,NA,0.0563,NA,NA,NA,NA
8307,Ehrharta longiflora,Ehrharta,Poaceae,18.6,NA,6.5,0.9,NA,NA,NA,NA,1.82,NA,NA,NA,NA
8308,Erodium aureum,Erodium,Geraniaceae,26.2,26.5,11,0.2,NA,NA,NA,NA,1.04,NA,NA,NA,NA
8309,Erodium cygnorum,Erodium,Geraniaceae,39.7,45,25,0.6,557,NA,NA,NA,5.49,NA,NA,NA,NA
8310,Erymophyllum ramosum,Erymophyllum,Asteraceae,37.3,NA,NA,0.3,NA,NA,NA,NA,0.635,NA,NA,NA,NA
8311,Gilberta tenuifolia,Gilberta,Asteraceae,32,NA,NA,0.15,NA,NA,NA,NA,0.471,NA,NA,NA,NA
8312,Gilruthia osbornei,Gilruthia,Asteraceae,26.6,NA,NA,0.046,NA,NA,NA,NA,0.0646,NA,NA,NA,NA
8313,Leontodon rhagadioloides,Leontodon,Asteraceae,18.8,90,24,0.5,NA,NA,NA,NA,0.781,NA,NA,NA,NA
8314,Hibbertia glomerosa,Hibbertia,Dilleniaceae,39.4,NA,NA,1,NA,NA,NA,NA,3.79,NA,NA,NA,NA
8315,Hordeum leporinum,Hordeum,Poaceae,47.1,NA,4.12,0.45,280,NA,NA,NA,3.54,NA,NA,NA,NA
8316,Hyalosperma demissum,Hyalosperma,Asteraceae,26.3,NA,NA,0.2,7.85,NA,NA,NA,0.0593,NA,NA,NA,NA
8317,Hyalosperma glutinosum subsp. glutinosum,Hyalosperma,Asteraceae,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
8318,Hyalosperma glutinosum subsp. venustum,Hyalosperma,Asteraceae,NA,NA,NA,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA
8319,Hydrocotyle pilifera,Hydrocotyle,Araliaceae,19.7,7.5,15,0.2,NA,NA,NA,NA,0.188,NA,NA,NA,NA
8320,Isoetopsis graminifolia,Isoetopsis,Asteraceae,59.6,35,1.23,0.1,45.8,NA,NA,NA,0.691,NA,NA,NA,NA
8321,Isotropis juncea,Isotropis,Fabaceae,42.1,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
8322,Lawrencella rosea,Lawrencella,Asteraceae,39.6,NA,NA,0.262,NA,NA,NA,NA,1.6,NA,NA,NA,NA
8323,Lepidium bonariense,Lepidium,Brassicaceae,NA,55,1.35,0.5,7,NA,NA,NA,1.01,NA,NA,NA,NA
8324,Levenhookia dubia,Levenhookia,Stylidiaceae,21.3,4.88,2,0.08,NA,NA,NA,NA,0.012,NA,NA,NA,NA
8325,Levenhookia leptantha,Levenhookia,Stylidiaceae,29.3,NA,NA,0.09,NA,NA,NA,NA,0.0128,NA,NA,NA,NA
8326,Lysimachia arvensis,Lysimachia,Primulaceae,37.5,29,9.75,0.23,151,NA,NA,16.1,0.521,1.28,NA,NA,NA
8327,Medicago minima,Medicago,Fabaceae,31.3,9.75,5.88,0.203,20,NA,NA,NA,1.06,NA,NA,NA,NA
8328,Medicago polymorpha,Medicago,Fabaceae,28.6,16.2,13.2,0.5,103,NA,NA,NA,2.93,NA,NA,NA,NA
8329,Menkea sphaerocarpa,Menkea,Brassicaceae,NA,NA,NA,0.0242,NA,NA,NA,NA,NA,NA,NA,NA,NA
8330,Mesembryanthemum crystallinum,Mesembryanthemum,Aizoaceae,19.8,95,66.6,0.0276,NA,NA,NA,NA,0.104,NA,NA,NA,NA
8331,Millotia myosotidifolia,Millotia,Asteraceae,26.1,32.5,3.75,0.2,NA,NA,NA,NA,0.112,NA,NA,NA,NA
8332,Millotia tenuifolia,Millotia,Asteraceae,28.4,13.5,1.85,0.15,10.2,NA,NA,NA,0.178,NA,NA,NA,NA
8333,Monachather paradoxus,Monachather,Poaceae,121,115,3.08,0.7,520,NA,NA,29.1,2.4,0.855,463,NA,NA
8334,Monoculus monstrosus,Monoculus,Asteraceae,40.9,60,15,0.5,NA,NA,NA,NA,7.05,NA,NA,NA,NA
8335,Nicotiana rotundifolia,Nicotiana,Solanaceae,21.3,NA,NA,1,NA,NA,NA,NA,0.12,NA,NA,NA,NA
8336,Omphalolappula concava,Omphalolappula,Boraginaceae,57.6,23.8,3.57,0.5,37,NA,NA,NA,1.51,NA,NA,NA,NA
8337,Ophioglossum lusitanicum,Ophioglossum,Ophioglossaceae,29.2,30.8,6,0.15,393,NA,NA,NA,0.001,NA,NA,NA,NA
8338,Orchidaceae sp. [Dwyer_2017],Orchidaceae,Orchidaceae,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
8339,Parentucellia latifolia,Parentucellia,Orobanchaceae,32.7,8.49,5.04,0.3,20.7,NA,NA,NA,0.00884,NA,NA,NA,NA
8340,Pentameris airoides,Pentameris,Poaceae,61.9,25,NA,0.3,NA,NA,NA,36,0.0504,NA,494,NA,NA
8341,Petrorhagia dubia,Petrorhagia,Caryophyllaceae,34.2,30,2.75,0.6,NA,NA,NA,NA,0.241,NA,NA,NA,NA
8342,Pheladenia deformis,Pheladenia,Orchidaceae,38.6,61.4,3.42,0.2,1650,NA,NA,NA,0.001,NA,NA,NA,NA
8343,Phyllangium sulcatum,Phyllangium,Loganiaceae,23.5,NA,NA,0.17,NA,NA,NA,NA,0.0793,NA,NA,NA,NA
8344,Poaceae sp. [Poaceae sp13; Dwyer_2017],Poaceae,Poaceae,NA,NA,NA,0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA
8345,Poaceae sp. [Poaceae sp14; Dwyer_2017],Poaceae,Poaceae,NA,NA,NA,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA
8346,Poaceae sp. [Poaceae sp15; Dwyer_2017],Poaceae,Poaceae,NA,NA,NA,0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA
8347,Poaceae sp. [Poaceae sp16; Dwyer_2017],Poaceae,Poaceae,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
8348,Poaceae sp. [Poaceae sp3; Dwyer_2017],Poaceae,Poaceae,NA,NA,NA,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA
8349,Poaceae sp. [Poaceae sp5; Dwyer_2017],Poaceae,Poaceae,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
8350,Poaceae sp. [Poaceae sp6; Dwyer_2017],Poaceae,Poaceae,NA,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
8351,Poaceae sp. [Poaceae sp7; Dwyer_2017],Poaceae,Poaceae,NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA
8352,Podolepis canescens,Podolepis,Asteraceae,40.1,NA,NA,0.85,333,NA,NA,NA,0.575,NA,NA,NA,NA
8353,Podolepis capillaris,Podolepis,Asteraceae,67.8,NA,NA,0.5,7,NA,NA,NA,0.0795,NA,NA,NA,NA
8354,Podolepis lessonii,Podolepis,Asteraceae,95.2,70,15,0.4,NA,NA,NA,25.1,0.0888,0.816,465,NA,NA
8355,Podotheca angustifolia,Podotheca,Asteraceae,38.4,49,4,0.3,NA,NA,NA,NA,0.535,NA,NA,NA,NA
8356,Podotheca gnaphalioides,Podotheca,Asteraceae,38.8,NA,NA,0.6,NA,NA,NA,NA,0.563,NA,NA,NA,NA
8357,Pogonolepis muelleriana,Pogonolepis,Asteraceae,45,4.75,0.75,0.12,NA,NA,NA,NA,0.0699,NA,NA,NA,NA
8358,Polycarpon tetraphyllum,Polycarpon,Caryophyllaceae,27.1,9.5,4.5,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
8359,Prasophyllum gracile,Prasophyllum,Orchidaceae,23,200,2,0.3,NA,NA,NA,NA,0.0046,NA,NA,NA,NA
8360,Ptilotus declinatus,Ptilotus,Amaranthaceae,43.5,NA,NA,0.2,NA,NA,NA,NA,1.06,NA,NA,NA,NA
8361,Ptilotus exaltatus,Ptilotus,Amaranthaceae,213,NA,9,1.5,586,NA,NA,21.5,2.12,1.23,NA,NA,NA
8362,Ptilotus gaudichaudii,Ptilotus,Amaranthaceae,45.5,20,2.48,0.5,41.8,NA,NA,NA,1.35,NA,NA,NA,NA
8363,Ptilotus sp. [Dwyer_2017],Ptilotus,Amaranthaceae,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA
8364,Quinetia urvillei,Quinetia,Asteraceae,34.8,12.2,3,0.2,NA,NA,NA,NA,0.509,NA,NA,NA,NA
8365,Rhodanthe chlorocephala,Rhodanthe,Asteraceae,38.2,NA,NA,0.113,NA,NA,NA,NA,1.38,NA,NA,NA,NA
8366,Rhodanthe laevis,Rhodanthe,Asteraceae,26.9,15,0.6,0.22,NA,NA,NA,NA,0.498,NA,NA,NA,NA
8367,Rhodanthe manglesii,Rhodanthe,Asteraceae,26.6,NA,NA,0.4,NA,NA,NA,NA,0.837,NA,NA,NA,NA
8368,Rhodanthe polycephala,Rhodanthe,Asteraceae,25.7,NA,NA,0.273,NA,NA,NA,NA,0.0712,NA,NA,NA,NA
8369,Rhodanthe pygmaea,Rhodanthe,Asteraceae,23.5,7.5,0.2,0.1,NA,NA,NA,NA,1.93,NA,NA,NA,NA
8370,Rhodanthe spicata,Rhodanthe,Asteraceae,51,NA,NA,0.3,NA,NA,NA,NA,0.81,NA,NA,NA,NA
8371,Vincetoxicum lineare,Vincetoxicum,Apocynaceae,106,60,1.88,0.14,79.1,NA,NA,NA,6.81,NA,NA,NA,NA
8372,Romulea rosea,Romulea,Iridaceae,97,228,1.75,0.4,785,NA,NA,NA,0.807,NA,NA,NA,NA
8373,Rostraria pumila,Rostraria,Poaceae,22.9,NA,2.33,0.3,133,NA,NA,NA,0.054,NA,NA,NA,NA
8374,Rytidosperma caespitosum,Rytidosperma,Poaceae,121,191,1.91,1,504,NA,NA,NA,0.716,NA,NA,NA,NA
8375,Schoenia cassiniana,Schoenia,Asteraceae,37,67.5,8.5,0.7,NA,NA,NA,NA,6.05,NA,NA,NA,NA
8376,Schoenus nanus,Schoenus,Cyperaceae,25.2,NA,NA,0.1,NA,NA,NA,NA,0.0943,NA,NA,NA,NA
8377,Senecio glossanthus,Senecio,Asteraceae,73.5,41.6,8.98,0.5,126,NA,NA,NA,0.284,NA,NA,NA,NA
8378,Silene nocturna,Silene,Caryophyllaceae,27.4,25,6,0.191,NA,NA,NA,NA,0.333,NA,NA,NA,NA
8379,Stenopetalum lineare,Stenopetalum,Brassicaceae,35.2,NA,NA,0.6,NA,NA,NA,NA,0.354,NA,NA,NA,NA
8380,Trachymene ornata,Trachymene,Araliaceae,27.9,32.5,32.5,0.219,NA,NA,NA,NA,2.06,NA,NA,NA,NA
8381,Trachymene pilosa,Trachymene,Araliaceae,27.3,17.5,17.5,0.3,NA,NA,NA,NA,0.917,NA,NA,NA,NA
8382,Trifolium hirtum,Trifolium,Fabaceae,47.6,11.5,8,0.088,NA,NA,NA,NA,1.24,NA,NA,NA,NA
8383,Trifolium subterraneum,Trifolium,Fabaceae,33.4,24.4,23.4,0.15,297,NA,NA,NA,5.67,NA,NA,NA,NA
8384,Triglochin isingiana,Triglochin,Juncaginaceae,18.7,NA,NA,0.0425,NA,NA,NA,NA,0.744,NA,NA,NA,NA
8385,Urospermum picroides,Urospermum,Asteraceae,25.4,90,25,0.5,NA,NA,NA,NA,1.59,NA,NA,NA,NA
8386,Ursinia anthemoides,Ursinia,Asteraceae,34,NA,NA,0.305,NA,NA,NA,NA,1.43,NA,NA,NA,NA
8387,Vulpia bromoides,Vulpia,Poaceae,39.8,35.4,1.09,0.6,27,NA,NA,NA,0.316,NA,NA,NA,NA
8388,Vulpia myuros,Vulpia,Poaceae,89.4,NA,NA,0.6,NA,NA,NA,17.2,0.278,3.34,452,NA,NA
8389,Wahlenbergia gracilenta,Wahlenbergia,Campanulaceae,22.2,20.5,5.6,0.5,226,NA,NA,NA,0.00866,NA,NA,NA,NA
8390,Waitzia nitida,Waitzia,Asteraceae,34.7,NA,NA,0.419,NA,NA,NA,NA,0.127,NA,NA,NA,NA
8391,Wurmbea sp. Paynes Find (C.J.French 1237),Wurmbea,Colchicaceae,41.4,NA,NA,0.12,NA,NA,NA,NA,0.819,NA,NA,NA,NA
8392,Zaluzianskya divaricata,Zaluzianskya,Scrophulariaceae,43.8,19,8,0.35,NA,NA,NA,NA,0.0516,NA,NA,NA,NA
8393,Acacia harpophylla,Acacia,Fabaceae,109,158,20.3,30,560,0.846,NA,24,50.4,2.89,NA,NA,NA
8394,Geijera parviflora,Geijera,Rutaceae,184,126,7.47,10,585,0.827,0.384,17.7,22.1,0.884,467,NA,29.5
8395,Hibbertia aspera,Hibbertia,Dilleniaceae,88.2,10.5,4.75,2,110,NA,0.308,21.4,2.5,1.02,NA,NA,NA
8396,Monotoca scoparia,Monotoca,Ericaceae,186,13.9,2.22,3,24.9,0.693,0.376,9.26,1.41,0.267,540,NA,NA
8397,Platylobium obtusangulum,Platylobium,Fabaceae,117,25,28,1,529,NA,0.264,18.4,6.38,0.49,489,NA,NA
8398,Acacia aspera,Acacia,Fabaceae,51.7,25,3.33,2,78.4,NA,NA,NA,14.5,NA,NA,NA,NA
8399,Acacia baileyana,Acacia,Fabaceae,89.5,6.25,1.27,10,748,0.743,NA,NA,21.3,NA,NA,NA,NA
8400,Acacia concurrens,Acacia,Fabaceae,98.5,138,36.5,10,1860,0.758,NA,22,8.85,0.6,NA,NA,NA
8401,Acacia deanei,Acacia,Fabaceae,121,7.67,0.85,7,NA,0.771,NA,NA,27,NA,NA,NA,NA
8402,Acacia georgensis,Acacia,Fabaceae,38.8,100,17,12,415,NA,NA,NA,7.77,NA,NA,NA,NA
8403,Acacia mariae,Acacia,Fabaceae,117,9.5,1.55,2,13.9,NA,NA,NA,10.8,NA,NA,NA,NA
8404,Crowea exalata,Crowea,Rutaceae,NA,32.2,3.75,1,NA,NA,NA,NA,5.57,NA,NA,NA,NA
8405,Lasiopetalum behrii,Lasiopetalum,Malvaceae,56.2,72.5,21.2,1.5,1330,NA,NA,NA,2.33,NA,NA,NA,NA
8406,Melaleuca gibbosa,Melaleuca,Myrtaceae,35.8,5,3.25,3,17.9,NA,NA,NA,0.247,NA,NA,NA,NA
8407,Melaleuca quinquenervia,Melaleuca,Myrtaceae,52.8,57.5,16.2,35,651,0.69,NA,13.3,0.2,NA,NA,NA,NA
8408,Astrotricha floccosa,Astrotricha,Araliaceae,68.7,146,32.8,4,4090,0.456,0.437,16,3.36,0.675,477,NA,6.24
8409,Hibbertia bracteata,Hibbertia,Dilleniaceae,125,20,5.65,1,72,NA,0.28,10.4,3.28,0.27,433,NA,11
8410,Lasiopetalum ferrugineum,Lasiopetalum,Malvaceae,135,67,19.2,3,1120,0.764,0.435,13.3,1.5,0.446,473,NA,23.9
8411,Leptospermum,Leptospermum,Myrtaceae,NA,NA,2.8,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA
8412,Leucopogon microphyllus,Leucopogon,Ericaceae,127,5.38,1.45,1,2.06,NA,0.31,7.48,0.597,0.141,510,NA,NA
8413,Pomaderris ferruginea,Pomaderris,Rhamnaceae,101,77.5,31.2,4,921,0.732,0.305,12,1.2,0.41,475,NA,11.5
8414,Pultenaea stipularis,Pultenaea,Fabaceae,124,20,1.5,2,49.6,0.673,NA,NA,9.59,NA,NA,NA,NA
8415,Acacia longifolia,Acacia,Fabaceae,236,160,23.2,10,2340,0.443,0.33,23.3,17.1,0.426,540,NA,NA
8416,Aotus ericoides,Aotus,Fabaceae,144,16.5,3.5,2,30.5,0.709,NA,19.3,3.39,0.388,531,NA,NA
8417,Leucopogon affinis,Leucopogon,Ericaceae,125,28.2,4.79,3,31.4,0.662,NA,10.7,3.21,0.231,473,NA,NA
8418,Monotoca elliptica,Monotoca,Ericaceae,147,20.2,4.38,10,56.3,0.549,NA,9.9,8.06,NA,NA,NA,NA
8419,Platysace ericoides,Platysace,Apiaceae,109,11.4,1.23,0.5,7.8,0.798,NA,10.4,0.54,NA,NA,NA,NA
8420,Pomax umbellata,Pomax,Rubiaceae,40.9,20.2,8.55,0.4,77.3,NA,NA,17,1.16,NA,NA,NA,NA
8421,Ricinocarpos pinifolius,Ricinocarpos,Euphorbiaceae,225,32.5,2.5,3,69.4,0.465,NA,9.8,46.4,NA,NA,NA,NA
8422,Tetratheca ericifolia,Tetratheca,Elaeocarpaceae,153,6.5,1.02,0.68,23.7,0.153,NA,12.3,2.05,NA,NA,NA,NA
8423,Abutilon fraseri,Abutilon,Malvaceae,115,52.5,29.4,1.5,493,NA,NA,32.5,1.12,NA,421,NA,NA
8424,Acacia brachystachya,Acacia,Fabaceae,316,97.5,1.98,6,124,0.99,NA,NA,29.4,NA,NA,NA,NA
8425,Acacia sp. [Acacia brownii/ulicifolia; Fonseca_2000],Acacia,Fabaceae,NA,NA,0.8,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA
8426,Acacia burkittii,Acacia,Fabaceae,527,102,1.28,8,62,NA,NA,19.8,20.8,NA,515,NA,NA
8427,Acacia sp. [Acacia cheelii/melanoxylon; Fonseca_2000],Acacia,Fabaceae,NA,NA,16.5,NA,1890,NA,NA,NA,NA,NA,NA,NA,NA
8428,Acacia clivicola,Acacia,Fabaceae,NA,NA,1.5,NA,46.4,NA,NA,NA,NA,NA,NA,NA,NA
8429,Acacia homalophylla,Acacia,Fabaceae,323,86.7,7.48,10,286,1.06,NA,NA,12.9,NA,NA,NA,NA
8430,Acacia irrorata,Acacia,Fabaceae,96.6,3.58,0.7,12,2.75,0.486,NA,NA,10.8,NA,NA,NA,NA
8431,Acacia longissima,Acacia,Fabaceae,201,150,3.88,5,366,0.606,NA,NA,11.8,NA,NA,NA,NA
8432,Acacia sp. [Fonseca_2000],Acacia,Fabaceae,NA,NA,6.05,NA,528,NA,NA,NA,NA,NA,NA,NA,NA
8433,Acacia trineura,Acacia,Fabaceae,143,54.2,8.65,5,357,0.722,NA,NA,6.9,NA,NA,NA,NA
8434,Acacia wilhelmiana,Acacia,Fabaceae,220,23.3,2.75,3.2,19,0.805,0.37,17.7,5.93,0.73,526,171,12.1
8435,Actinotus minor,Actinotus,Apiaceae,145,NA,1.9,0.5,25.2,NA,NA,NA,0.775,NA,NA,NA,NA
8436,Adiantum formosum,Adiantum,Pteridaceae,34.2,NA,4.7,NA,59.7,NA,NA,NA,NA,NA,NA,NA,NA
8437,Allocasuarina sp. [Fonseca_2000],Allocasuarina,Casuarinaceae,NA,NA,0.6,NA,41.6,NA,NA,NA,NA,NA,NA,NA,NA
8438,Alternanthera nana,Alternanthera,Amaranthaceae,79.4,18.8,5.4,0.6,20.4,NA,NA,NA,0.367,NA,NA,NA,NA
8439,Alyssum linifolium,Alyssum,Brassicaceae,88.1,NA,1.4,0.3,28.8,NA,NA,NA,0.16,NA,NA,NA,NA
8440,Amyema pendula subsp. pendula,Amyema,Loranthaceae,NA,NA,8.1,3,1050,NA,NA,NA,NA,NA,NA,NA,NA
8441,Amyema sp. [Fonseca_2000],Amyema,Loranthaceae,NA,NA,12.4,NA,802,NA,NA,NA,NA,NA,NA,NA,NA
8442,Angophora sp. [Fonseca_2000],Angophora,Myrtaceae,NA,NA,20.5,NA,1360,NA,NA,NA,NA,NA,NA,NA,NA
8443,Capparis anomala,Capparis,Capparaceae,769,10,2.2,5,132,0.81,NA,NA,32,NA,NA,NA,NA
8444,Aristida obscura,Aristida,Poaceae,95.2,175,2.35,0.5,51.2,NA,NA,NA,1.88,NA,NA,NA,NA
8445,Aristida sp. [Fonseca_2000],Aristida,Poaceae,NA,NA,0.5,NA,53.8,NA,NA,NA,NA,NA,NA,NA,NA
8446,Arthropteris tenella,Arthropteris,Tectariaceae,41.3,NA,11.7,NA,325,NA,NA,NA,NA,NA,NA,NA,NA
8447,Asteraceae sp. [Fonseca_2000],Asteraceae,Asteraceae,NA,NA,2.2,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA
8448,Astrebla lappacea,Astrebla,Poaceae,92.6,170,3.8,0.9,280,NA,NA,NA,1.26,NA,NA,NA,NA
8449,Atriplex acutibractea,Atriplex,Chenopodiaceae,179,23.8,13.8,0.5,62.4,NA,NA,NA,0.499,NA,NA,NA,NA
8450,Atriplex acutiloba,Atriplex,Chenopodiaceae,112,30,3.6,0.5,21.5,NA,NA,NA,1.68,NA,NA,NA,NA
8451,Atriplex angulata,Atriplex,Chenopodiaceae,94.3,35,17.2,1.2,75.9,0.911,NA,NA,2.74,NA,NA,NA,NA
8452,Atriplex eardleyae,Atriplex,Chenopodiaceae,90.1,NA,9,0.3,87.6,NA,NA,NA,3.56,NA,NA,NA,NA
8453,Atriplex lindleyi,Atriplex,Chenopodiaceae,127,35,14.2,0.4,20.4,NA,NA,NA,2.75,NA,NA,NA,NA
8454,Atriplex pseudocampanulata,Atriplex,Chenopodiaceae,87.8,20,14.6,0.3,103,NA,NA,NA,1.14,NA,NA,NA,NA
8455,Atriplex stipitata,Atriplex,Chenopodiaceae,107,18,8.93,1,56.4,NA,0.25,29,0.713,1.32,423,NA,6.36
8456,Atriplex vesicaria,Atriplex,Chenopodiaceae,170,15,6.54,1,33.4,NA,NA,NA,5.77,NA,NA,NA,NA
8457,Banksia spinulosa var. collina,Banksia,Proteaceae,NA,NA,4.3,1.62,198,0.73,NA,NA,NA,NA,NA,NA,NA
8458,Beyeria opaca,Beyeria,Euphorbiaceae,176,11.8,2.58,1.69,28.6,0.754,0.35,16,12.2,0.645,529,76.4,14.8
8459,Blechnum cartilagineum,Blechnum,Blechnaceae,75.3,NA,8.65,1.5,24300,NA,0.2,10,0.001,NA,421,NA,NA
8460,Blechnum patersonii,Blechnum,Blechnaceae,61.7,NA,15.4,NA,2450,NA,NA,NA,NA,NA,NA,NA,NA
8461,Bossiaea ensata,Bossiaea,Fabaceae,204,1.75,1.6,2,8.4,0.782,NA,NA,14.9,NA,NA,NA,NA
8462,Bossiaea walkeri,Bossiaea,Fabaceae,436,11.3,5.8,2.07,263,0.962,0.61,14.4,9.34,0.573,474,NA,56.8
